"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit"
2.05,0,0,0.000652742,0.006423259,0.033346889,0.060795386,0.085129195,0.103354389,0.08234774,0.077911554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,0,0,0.000670841,0.006656682,0.024931507,0.069090909,0.088181525,0.093896714,0.082604363,0.079635819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.15,0,0,0.00044082,0.00644177,0.028760149,0.060870591,0.085748142,0.098957202,0.081045173,0.069895558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,0,0,0,0.00631544,0.034346463,0.068211373,0.090043846,0.095587442,0.087883115,0.084384316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,0,0,0.0015681,0.007436201,0.027676824,0.071077283,0.096854394,0.098650836,0.081165221,0.077702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,0,0,0.00065331,0.00815715,0.032060861,0.060701386,0.098175966,0.101436657,0.083009655,0.08820536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35,0,0,0.000659631,0.006822612,0.035051261,0.061603574,0.091575092,0.102478448,0.07605696,0.07834677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,0,0,0.001111111,0.006568974,0.032353734,0.067623192,0.09767141,0.095463341,0.085185185,0.083825534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45,0,0,0.000221631,0.003797687,0.027796519,0.061715106,0.097600171,0.107561579,0.08935611,0.081350555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,0,0,0.000665484,0.005969159,0.029500137,0.072403561,0.104213573,0.102748551,0.093545162,0.083060971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,0,0,0.00044603,0.006666667,0.022808958,0.074104716,0.102714835,0.102040816,0.086474742,0.079084523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,0,0,0.001779755,0.007447529,0.029864994,0.059338288,0.086471103,0.10957287,0.084690554,0.084579335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65,0,0,0.000447828,0.009554656,0.033356306,0.059127509,0.081849761,0.097966138,0.09225451,0.089582398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,0,0,0.000228154,0.006900034,0.028575373,0.072573044,0.090958665,0.098778659,0.087031267,0.084336007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.75,0,0,0.000220848,0.00451505,0.03904026,0.064330236,0.086599518,0.102640864,0.091252292,0.085974376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,0,0,0.001114082,0.008536994,0.028873917,0.056427459,0.091952778,0.090682016,0.08861306,0.090617038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,0,0,0.00064907,0.006706908,0.031711016,0.06585047,0.08543962,0.095341278,0.088989442,0.079106145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,0,0,0.000445038,0.011469415,0.02480255,0.06462585,0.094368176,0.095750462,0.094239706,0.087674289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.95,0,0,0.000222222,0.00819535,0.034378852,0.069471154,0.094214697,0.09917988,0.084829588,0.087856743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0.000443262,0.009123163,0.0352638,0.085947522,0.093350521,0.099207199,0.095207531,0.087824351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.05,0,0,0,0.005152069,0.025970438,0.05955306,0.085723563,0.103021245,0.085483871,0.093264249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,0,0,0.000226655,0.006758985,0.028001109,0.069852507,0.091525059,0.094479716,0.095564603,0.087280409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.15,0,0,0.000670991,0.008260283,0.033165006,0.063527742,0.091241268,0.104301773,0.094313454,0.084957909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,0,0,0,0.009623502,0.030406794,0.073098725,0.096416382,0.093637455,0.092089978,0.093244425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.25,0,0,0.000658328,0.004391892,0.031387665,0.06637962,0.101368691,0.092629046,0.101520668,0.088575797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,0,0,0.000444247,0.006648483,0.029901693,0.068489893,0.094361702,0.09644503,0.094548186,0.099461479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.35,0,0,0.000226347,0.008178935,0.029979466,0.069678499,0.096736348,0.090729783,0.098537419,0.093613775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,0,0,0.000222568,0.006993007,0.034660168,0.080310881,0.104312726,0.081303489,0.104087653,0.093617943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
